barkod;eski_ad;yeni_ad
NBK165-3;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBY033-6;Kadın Gold Renk Paslanmaz Çelik Yüzük;Yüzük — Gold
NBK081;Kanatlı Kalp Model Zirkon Taş Detay Çelik Kolye;Kanatlı Kalp Kolye
NBY021;Gümüş Renk Zirkon Taşlı Kalp Model Charm Yüzük;Kalp Charm Yüzük
NBY005;Sıralı Kalp Figürlü Zirkon Taşlı Gold Renk Ayarlanabilir Yüzük;Sıralı Kalp Yüzük
NBK073;Gümüş Renk Zirkon Taşlı Güneş Ve Ay Figürlü Kadın Çelik Kolye;Güneş Ay Kolye — Silver
NBB039;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBK043;Külçe Kolye Gold 45cm;Külçe Kolye
NBK107;Çelik Kolye 45cm;Kolye 45 cm
NBK041;Külçe Çelik Kolye 45cm;Külçe Kolye
NBB107;Yılan Figürlü Charm Tasarımlı Kadın Bileklik;Yılan Charm Bileklik
NBB125;Zirkon Taşlı Yıldız Yonca Ve Kelebek Detaylı Charm Kadın Bileklik;Yıldız Yonca Bileklik
NBK102;Zirkon Taşlı Kolye Silver 45 cm;Kolye 45 cm — Silver
NBH006;Deniz Kabuğu Detaylı Boncuklu Yazlık Halhal;Deniz Kabuğu Boncuklu Halhal
NBKP064;Gold Renk Sallantı Leopar Kalp Model Küpe;Leopar Kalp Küpe
NBB087;Çelik Bileklik Gold;Bileklik — Gold
NBK166-15;Kalp Detaylı Gold Renk Çelik Harf Kolye;Kalp Harf Kolye — Gold
NBK165-14;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBB081;VIP Kaplama Şahmeran Gold;VIP Şahmeran
NBKP056;Mineli Karışık Renkli Gold Renk Küpe;Karışık Küpe
NBY030;Minimal Gold Çoklu Yüzük Seti 6'lı Kombin;Çoklu Yüzük Lı Set
NBKP014;Çelik Tragus Küpe Silver;Tragus Küpe
NBKP062;Pirinç Gold Renk Zirkon Taşlı 3’lü Sıralı Kıkırdak Küpe;Lü Sıralı Küpe
NBKP101;Altın Renk katmanlı Kıvrım Tasarım Küpe;Katmanlı Kıvrım Küpe
NBK071;316L Çelik Gold Renk 2'Li Simli Kelebek Model Kolye;Li Simli Kolye
NBK146;Erkek Çelik Kolye 60 cm;Erkek Kolye
NBK079;Renkli Zirkon Taşlı Gold Renk Y Kolye;Y Kolye
NBB106;Romantik Pembe Kalp & İnci Detaylı Sallantılı Bileklik;Kalp İnci Bileklik — Pembe
NBK143;Erkek Çelik Kolye 60 cm;Erkek Kolye
NBKP084;Modern Yıldız Tasarımlı Gold Renk Kadın Küpe;Yıldız Küpe
NBY025-6;Vida Detaylı Taşlı Gold Renk Çelik Yüzük;Vida Yüzük
NBKP011;Çelik Üçlü Yuvarlak Küpe;Üçlü Yuvarlak Küpe
NBKP052;316L Çelik Sallantılı Kilit Figürlü Gold Renk Küpe;Sallantılı Kilit Küpe
NBKP069;Gold Renk İşlemeli Plaka Kalp Model Küpe;Plaka Kalp Küpe
NBB103;Gold Renk Zincir Sallantılı Zirkon Taşlı Dört Yaprak Figürlü Kadın Bileklik;Zincir Dört Bileklik
NBKP030;Pirinç Gold Renk Zirkon Taşlı Kadın Küpe;Küpe — Gold
NBB113;Kelebek Figürlü Charm Tasarımlı Bileklik;Kelebek Charm Bileklik
NBK165-1;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBK164-12;Balon Gold Renk Çelik Harf Kolye;Balon Harf Kolye — Gold
NBB093;Gümüş Renk Zincir Sallantılı Zirkon Taşlı Dört Yaprak Figürlü Kadın Bileklik;Zincir Dört Bileklik
NBY024;Gold Renk Zirkon Taşlı Yüzük;Yüzük — Gold
NBKP046;Gold Renk İşlemeli Daire Halka Model Küpe Seti;Daire Halka Set
NBKP044;Gold Renk Bomba Kalp Model Küpe;Bomba Kalp Küpe
NBK024;Samanyolu Çelik Kolye Gold;Samanyolu Kolye
NBK105;Ay Yıldız Figürlü Zirkon Taşlı Kolye Gold 45 cm;Ay & Yıldız Kolye — Gold
NBK084;Zirkon Taşlı Kolye Silver 45 cm;Kolye 45 cm — Silver
NBB061;Gümüş Renk Parçalı Zincirli Şahmeran;Parçalı Zincirli
NBK124;Çelik Kolye Gold;Kolye — Gold
NBK165-12;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBK182;2’li İnci Zincir Kalp Figürlü Nazar Detaylı Kadın Çelik Kolye;Li İnci Kolye
NBK083;Zirkon Taşlı Kolye Gold 45 cm;Kolye 45 cm — Gold
NBK165-15;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBK160;316L Çelik Gold Renk Zincir Mor Mineli İncili Çiçek İşlemeli Madalyon Kolye;Zincir Çiçek Kolye
NBKP027-9;316L Çelik Gold Renk Harf Model Küpe;Harf Küpe
NBK091;Çelik Zirkon Kolye Silver 45 cm;Kolye 45 cm — Silver
NBK175-1;Gold Renk 2’li Simli Kelebek Figürlü Kadın Çelik Kolye;Li Simli Kolye
NBK164-15;Balon Gold Renk Çelik Harf Kolye;Balon Harf Kolye — Gold
NBK165-11;Balon Gümüş Renk Çelik Harf Kolye;Balon Harf Kolye — Silver
NBK016;Renkli Çelik Kolye Gold;Kolye — Gold
NBB069;Zirkon Taşlı Kelebek Model Gümüş Renk Şahmeran;Kelebek Şahmeran
NBB079;Çelik İnce İtalyan Model Bileklik Silver;İnce İtalyan Bileklik
NBK166-9;316L Çelik Kalp Detaylı Gold Renk Harf Kolye;Kalp Harf Kolye — Gold
NBY022;Gold Renk Kalp Model Zirkon Taş Yıldız Detay Yüzük;Kalp Yıldız Yüzük
NBK114;Çelik Siyah Dört Yaprak Figürlü Kolye Silver;Dört Yaprak Kolye — Silver
NBK033;Erkek Çelik Kolye Silver (60);Erkek Kolye
NBB030;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBB035;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBK164-11;Balon Gold Renk Çelik Harf Kolye;Balon Harf Kolye — Gold
NBK011;Gold Renk Asimetrik Zincir İnci Ve Damla Figürlü Kadın Çelik Kolye;Asimetrik Zincir Kolye
NBK166-2;Kalp Detaylı Gold Renk Çelik Harf Kolye;Kalp Harf Kolye — Gold
NBKP027-10;316L Çelik Gold Renk Harf Model Küpe;Harf Küpe
NBK167-5;Kalp Detaylı Gümüş Renk Çelik Harf Kolye;Kalp Harf Kolye — Silver
NBK164-8;Balon Gold Renk Çelik Harf Kolye;Balon Harf Kolye — Gold
NBY019;Gold Renk Papatya Model Zirkon Taş Detay Yüzük;Papatya Yüzük
NBB045;Gold Renk Ay ve Güneş Charmlı Bileklik;Ay Güneş Bileklik
NBK167-10;Kalp Detaylı Gümüş Renk Çelik Harf Kolye;Kalp Harf Kolye — Silver
NBK167-3;Kalp Detaylı Gümüş Renk Çelik Harf Kolye;Kalp Harf Kolye — Silver
NBB038;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBY004;Çiçek Model Yeşil Gold Renk Yüzük;Çiçek Yeşil Yüzük
NBK028;Çelik Sevgili Çift Kolye 45cm;Sevgili Kolye
NBKP072;Çelik Küpe Gold;Küpe — Gold
NBB005;Zigzag Model Ajda Bilezik Gold 65 mm;Zigzag Ajda Bilezik
NBB037;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBB064;316L Çelik Sıralı Yonca Figürlü Gold Renk Bileklik;Sıralı Yonca Bileklik
NBK166-4;Kalp Detaylı Gold Renk Çelik Harf Kolye;Kalp Harf Kolye — Gold
NBGP010;Zirkon Taşlı Sallantılı Kelebek Figürlü Çelik Göbek Piercing;Sallantılı Kelebek Piercing
NBB029;Erkek Çelik Bileklik 19 cm;Erkek Bileklik
NBB135;Yıldız Kalp Çiçek Yonca Charm Detaylı Gold Renk Kadın Bileklik;Yıldız Kalp Bileklik
NBB121;Luxury Yıldız Charm Detaylı Gold Bileklik;Yıldız Charm Bileklik
NBKP073;Çelik Küpe Silver;Küpe — Silver
NBB092;Gümüş Renk Zincir Sallantı Zirkon Taşlı Yıldız Detay Kadın Bileklik;Zincir Yıldız Bileklik
NBK021;Silver Renk Minimal Çelik Zincir Kolye;Minimal Zincir Kolye
NBK167-4;Kalp Detaylı Gümüş Renk Çelik Harf Kolye;Kalp Harf Kolye — Silver
NBK164-10;Balon Gold Renk Çelik Harf Kolye;Balon Harf Kolye — Gold
NBKP017;Çelik Tragus Küpe Silver;Tragus Küpe
NBK166-5;Kalp Detaylı Gold Renk Çelik Harf Kolye;Kalp Harf Kolye — Gold
NBK080;Gümüş Renk Kanatlı Kalp Figürlü Zirkon Taşlı Kadın Çelik Kolye;Kanatlı Kalp Kolye
NBB122;Yaz & Deniz Temalı Yunus, Deniz Kabuğu İnci Figürlü Silver Bileklik;Yaz Temalı Bileklik — Silver
NBK194;Vintage Ay Güneş Figürlü Zirkon Taşlı Gold Renk Kadın Kolye;Ay Güneş Kolye
NBB109;Kutup Yıldızı & Kalp Figürlü Şık Charm Kadın Bileklik;Kutup Yıldızı Bileklik
NBKP088;Vintage Görünümlü Şık Kadın Küpe;Vintage Görünümlü Küpe
NBKP077;Gold Renk Vintage Sarmal Tasarımlı Kadın Küpe;Vintage Sarmal Küpe
NBB108;Yılan Figürlü Charm Tasarımlı Kadın Bileklik;Yılan Charm Bileklik
NBB110;Kutup Yıldızı & Kalp Figürlü Şık Charm Kadın Bileklik;Kutup Yıldızı Bileklik
